Name,type,Full name
AMI,Aminoglycosides,Amikacin
GEN,Aminoglycosides,Gentamicin
TOB,Aminoglycosides,Tobramycin
KAN,Aminoglycosides,Kanamycin
MET,Beta-Lactam,Methicillin
PEN,Beta-lactams,Penicillin
FUS,Fusidic Acid,Fusidic Acid
VAN,Glycopeptides,Vancomycin
TEC,Glycopeptides,Teicoplanin
CLI,Lincosamides,Clindamycin
ERY,Macrolides,Erythromycin
MUP,Mupirocin,Mupirocin
LNZ,Oxazolidinone,Linezolid
TCY,Tetracyclines,Tetracycline
TMP,Diaminopyrimidine,Trimethoprim
DAP,Lipopeptides,Daptomycin
RIF,Rifamycin,Rifampicin
CIP,Fluoroquinolones,Ciprofloxacin
MFX,Fluoroquinolones,Moxifloxacin
TEC,Glycopeptides,Teicoplanin
