Name,Type,Full Name
blaOXA169_1,OXA23-like,blaOXA169_1
blaOXA92_1,OXA51-like,blaOXA92_1
blaIMP49,IMP-like,blaIMP49
blaGES8_1,GES-like,blaGES8_1
blaOXA149_1,OXA51-like,blaOXA149_1
blaVIM32_1,VIM-like,blaVIM32_1
blaOXA344_NG,OXA51-like,blaOXA344_NG
blaNDM2,NDM-like,blaNDM2
blaOXA370,OXA48-like,blaOXA370
blaOXA345_NG,OXA51-like,blaOXA345_NG
blaOXA23_1,OXA23-like,blaOXA23_1
blaOXA512_NG,OXA58-like,blaOXA512_NG
blaGES3_1,GES-like,blaGES3_1
blaGES13_1,GES-like,blaGES13_1
blaGES28,GES-like,blaGES28
blaDIM1_1,DIM-like,blaDIM1_1
blaOXA51_8,OXA51-like,blaOXA51_8
blaOXA406_NG,OXA51-like,blaOXA406_NG
blaVIM33_1,VIM-like,blaVIM33_1
blaOXA505_NG,OXA48-like,blaOXA505_NG
blaOXA341_NG,OXA51-like,blaOXA341_NG
blaVIM49,VIM-like,blaVIM49
blaIMP41_1,IMP-like,blaIMP41_1
blaIMP4_2,IMP-like,blaIMP4_2
blaGES6_1,GES-like,blaGES6_1
blaOXA90_1,OXA51-like,blaOXA90_1
blaOXA413_NG,OXA51-like,blaOXA413_NG
blaOXA124_NG,OXA51-like,blaOXA124_NG
blaOXA91_1,OXA51-like,blaOXA91_1
blaGES24,GES-like,blaGES24
blaIMP32,IMP-like,blaIMP32
blaKPC14,KPC-like,blaKPC14
blaOXA387_NG,OXA51-like,blaOXA387_NG
blaIMP54,IMP-like,blaIMP54
blaIMP51,IMP-like,blaIMP51
blaOXA409_NG,OXA51-like,blaOXA409_NG
blaOXA524_NG,OXA51-like,blaOXA524_NG
blaOXA179_1,OXA51-like,blaOXA179_1
blaOXA87_1,OXA51-like,blaOXA87_1
blaOXA244_1,OXA48-like,blaOXA244_1
blaIMP23,IMP-like,blaIMP23
blaGES31,GES-like,blaGES31
blaVIM39,VIM-like,blaVIM39
blaIMP26_1,IMP-like,blaIMP26_1
blaNDM16,NDM-like,blaNDM16
blaOXA172_1,OXA51-like,blaOXA172_1
blaVIM37_1,VIM-like,blaVIM37_1
blaVIM5_1,VIM-like,blaVIM5_1
blaVIM23_1,VIM-like,blaVIM23_1
blaOXA71_1,OXA51-like,blaOXA71_1
blaIMP42_1,IMP-like,blaIMP42_1
blaGES12_1,GES-like,blaGES12_1
blaVIM30_1,VIM-like,blaVIM30_1
blaOXA407_NG,OXA51-like,blaOXA407_NG
blaGES17_1,GES-like,blaGES17_1
blaOXA441_NG,OXA51-like,blaOXA441_NG
blaGES16_1,GES-like,blaGES16_1
blaOXA315,OXA51-like,blaOXA315
blaKPC1_1,KPC-like,blaKPC1_1
blaNDM3,NDM-like,blaNDM3
blaIMP29_1,IMP-like,blaIMP29_1
blaIMP45,IMP-like,blaIMP45
blaOXA216_1,OXA51-like,blaOXA216_1
blaGES4_1,GES-like,blaGES4_1
blaIMP5_1,IMP-like,blaIMP5_1
blaOXA339_NG,OXA51-like,blaOXA339_NG
blaOXA51_9,OXA51-like,blaOXA51_9
blaGES2_1,GES-like,blaGES2_1
blaOXA241,OXA51-like,blaOXA241
blaOXA104_1,OXA51-like,blaOXA104_1
blaOXA376,OXA51-like,blaOXA376
blaVIM26_1,VIM-like,blaVIM26_1
blaOXA225_1,OXA23-like,blaOXA225_1
blaGES10_1,GES-like,blaGES10_1
blaOXA365,OXA51-like,blaOXA365
blaOXA94_1,OXA51-like,blaOXA94_1
blaVIM10_1,VIM-like,blaVIM10_1
blaGES1_1,GES-like,blaGES1_1
blaOXA54_1,OXA48-like,blaOXA54_1
blaIMP2_1,IMP-like,blaIMP2_1
blaGES21,GES-like,blaGES21
blaOXA346_NG,OXA51-like,blaOXA346_NG
blaVIM6_1,VIM-like,blaVIM6_1
blaKPC18,KPC-like,blaKPC18
blaOXA507_NG,OXA51-like,blaOXA507_NG
blaOXA197_1,OXA51-like,blaOXA197_1
blaOXA509_NG,OXA51-like,blaOXA509_NG
blaIMP44,IMP-like,blaIMP44
blaNDM4,NDM-like,blaNDM4
blaOXA527_NG,OXA51-like,blaOXA527_NG
blaGES30,GES-like,blaGES30
blaOXA414_NG,OXA51-like,blaOXA414_NG
blaIMP43,IMP-like,blaIMP43
blaVIM4_1,VIM-like,blaVIM4_1
blaKPC13,KPC-like,blaKPC13
blaOXA166_1,OXA23-like,blaOXA166_1
blaGES7_1,GES-like,blaGES7_1
blaOXA317,OXA51-like,blaOXA317
blaOXA122_NG,OXA51-like,blaOXA122_NG
blaNDM12,NDM-like,blaNDM12
blaVIM12_1,VIM-like,blaVIM12_1
blaVIM46,VIM-like,blaVIM46
blaVIM41,VIM-like,blaVIM41
blaOXA128_1,OXA51-like,blaOXA128_1
blaOXA340_NG,OXA51-like,blaOXA340_NG
blaOXA510_NG,OXA51-like,blaOXA510_NG
blaGES14_1,GES-like,blaGES14_1
blaOXA148_1,OXA51-like,blaOXA148_1
blaOXA403_NG,OXA51-like,blaOXA403_NG
blaGES20,GES-like,blaGES20
blaOXA82_1,OXA51-like,blaOXA82_1
blaOXA377,OXA51-like,blaOXA377
blaKPC26,KPC-like,blaKPC26
blaOXA203_1,OXA51-like,blaOXA203_1
blaOXA259,OXA51-like,blaOXA259
blaOXA531_NG,OXA51-like,blaOXA531_NG
blaIMP25_3,IMP-like,blaIMP25_3
blaNDM1_1,NDM-like,blaNDM1_1
blaOXA260,OXA51-like,blaOXA260
blaOXA313,OXA51-like,blaOXA313
blaVIM47,VIM-like,blaVIM47
blaVIM42,VIM-like,blaVIM42
blaVIM51,VIM-like,blaVIM51
blaOXA484,OXA48-like,blaOXA484
blaIMP4_3,IMP-like,blaIMP4_3
blaOXA69_1,OXA51-like,blaOXA69_1
blaGES11_1,GES-like,blaGES11_1
blaOXA163_1,OXA48-like,blaOXA163_1
blaVIM11_1,VIM-like,blaVIM11_1
blaIMP7,IMP-like,blaIMP7
blaVIM40,VIM-like,blaVIM40
blaIMP58,IMP-like,blaIMP58
blaGIM1_1,GIM-like,blaGIM1_1
blaGES25,GES-like,blaGES25
blaOXA371,OXA51-like,blaOXA371
blaOXA103,OXA23-like,blaOXA103
blaOXA127_NG,OXA51-like,blaOXA127_NG
blaBIC1_1,BIC-like,blaBIC1_1
blaVIM17_1,VIM-like,blaVIM17_1
blaGES5_1,GES-like,blaGES5_1
blaIMP1_5,IMP-like,blaIMP1_5
blaOXA316,OXA51-like,blaOXA316
blaOXA70_1,OXA51-like,blaOXA70_1
blaGES19,GES-like,blaGES19
blaIMP3,IMP-like,blaIMP3
blaOXA111_1,OXA51-like,blaOXA111_1
blaOXA467,OXA58-like,blaOXA467
blaOXA263,OXA51-like,blaOXA263
blaKPC24,KPC-like,blaKPC24
blaOXA206,OXA51-like,blaOXA206
blaOXA217,OXA51-like,blaOXA217
blaOXA423,OXA23-like,blaOXA423
blaOXA530_NG,OXA51-like,blaOXA530_NG
blaVIM25_1,VIM-like,blaVIM25_1
blaOXA261,OXA51-like,blaOXA261
blaOXA440,OXA23-like,blaOXA440
blaOXA408_NG,OXA51-like,blaOXA408_NG
blaKPC22,KPC-like,blaKPC22
blaIMP1_11,IMP-like,blaIMP1_11
blaVIM13_1,VIM-like,blaVIM13_1
blaOXA442_NG,OXA51-like,blaOXA442_NG
blaNDM9,NDM-like,blaNDM9
blaIMP33_1,IMP-like,blaIMP33_1
blaOXA202_1,OXA51-like,blaOXA202_1
blaIMP12_3,IMP-like,blaIMP12_3
blaOXA89_1,OXA51-like,blaOXA89_1
blaOXA75_1,OXA51-like,blaOXA75_1
blaOXA529_NG,OXA51-like,blaOXA529_NG
blaVIM34_1,VIM-like,blaVIM34_1
blaOXA134_2,OXA23-like,blaOXA134_2
blaVIM43,VIM-like,blaVIM43
blaOXA388,OXA51-like,blaOXA388
blaOXA405,OXA48-like,blaOXA405
blaOXA374,OXA51-like,blaOXA374
blaVIM2_2,VIM-like,blaVIM2_2
blaOXA523_NG,OXA51-like,blaOXA523_NG
blaOXA121_NG,OXA51-like,blaOXA121_NG
blaKPC16,KPC-like,blaKPC16
blaOXA150_1,OXA51-like,blaOXA150_1
blaOXA420,OXA58-like,blaOXA420
blaGES15_1,GES-like,blaGES15_1
blaOXA514,OXA48-like,blaOXA514
blaIMP20,IMP-like,blaIMP20
blaOXA383,OXA51-like,blaOXA383
blaOXA481,OXA23-like,blaOXA481
blaOXA175_1,OXA51-like,blaOXA175_1
blaOXA375,OXA51-like,blaOXA375
