Gene Name   ,Resistance Group,Set Effect,Effect    ,Resistance Profile,PID Threshold,Coverage Threshold,Source
blaBIC1_1   ,                ,RESISTANT ,RESISTANCE,"blaBIC1_1"       ,80.0         ,80.0              ,
blaDIM1_1   ,                ,RESISTANT ,RESISTANCE,"blaDIM1_1"       ,80.0         ,80.0              ,
blaGES8_1   ,                ,RESISTANT ,RESISTANCE,"blaGES8_1"       ,80.0         ,80.0              ,
blaGES4_1   ,                ,RESISTANT ,RESISTANCE,"blaGES4_1"       ,80.0         ,80.0              ,
blaGES3_1   ,                ,RESISTANT ,RESISTANCE,"blaGES3_1"       ,80.0         ,80.0              ,
blaGES10_1  ,                ,RESISTANT ,RESISTANCE,"blaGES10_1"      ,80.0         ,80.0              ,
blaGES9_1   ,                ,RESISTANT ,RESISTANCE,"blaGES9_1"       ,80.0         ,80.0              ,
blaGES7_1   ,                ,RESISTANT ,RESISTANCE,"blaGES7_1"       ,80.0         ,80.0              ,
blaGES14_1  ,                ,RESISTANT ,RESISTANCE,"blaGES14_1"      ,80.0         ,80.0              ,
blaGES11_1  ,                ,RESISTANT ,RESISTANCE,"blaGES11_1"      ,80.0         ,80.0              ,
blaGES12_1  ,                ,RESISTANT ,RESISTANCE,"blaGES12_1"      ,80.0         ,80.0              ,
blaGES17_1  ,                ,RESISTANT ,RESISTANCE,"blaGES17_1"      ,80.0         ,80.0              ,
blaGES1_1   ,                ,RESISTANT ,RESISTANCE,"blaGES1_1"       ,80.0         ,80.0              ,
blaGES6_1   ,                ,RESISTANT ,RESISTANCE,"blaGES6_1"       ,80.0         ,80.0              ,
blaGES13_1  ,                ,RESISTANT ,RESISTANCE,"blaGES13_1"      ,80.0         ,80.0              ,
blaGES2_1   ,                ,RESISTANT ,RESISTANCE,"blaGES2_1"       ,80.0         ,80.0              ,
blaGES5_1   ,                ,RESISTANT ,RESISTANCE,"blaGES5_1"       ,80.0         ,80.0              ,
blaGES15_1  ,                ,RESISTANT ,RESISTANCE,"blaGES15_1"      ,80.0         ,80.0              ,
blaGES16_1  ,                ,RESISTANT ,RESISTANCE,"blaGES16_1"      ,80.0         ,80.0              ,
blaGIM1_1   ,                ,RESISTANT ,RESISTANCE,"blaGIM1_1"       ,80.0         ,80.0              ,
blaIMI1_1   ,                ,RESISTANT ,RESISTANCE,"blaIMI1_1"       ,80.0         ,80.0              ,
blaIMI2_1   ,                ,RESISTANT ,RESISTANCE,"blaIMI2_1"       ,80.0         ,80.0              ,
blaIMP1_1   ,                ,RESISTANT ,RESISTANCE,"blaIMP1_1"       ,80.0         ,80.0              ,
blaIMP5_1   ,                ,RESISTANT ,RESISTANCE,"blaIMP5_1"       ,80.0         ,80.0              ,
blaIMP27_1  ,                ,RESISTANT ,RESISTANCE,"blaIMP27_1"      ,80.0         ,80.0              ,
blaIMP18_1  ,                ,RESISTANT ,RESISTANCE,"blaIMP18_1"      ,80.0         ,80.0              ,
blaIMP1_5   ,                ,RESISTANT ,RESISTANCE,"blaIMP1_5"       ,80.0         ,80.0              ,
blaIMP19_1  ,                ,RESISTANT ,RESISTANCE,"blaIMP19_1"      ,80.0         ,80.0              ,
blaIMP6_1   ,                ,RESISTANT ,RESISTANCE,"blaIMP6_1"       ,80.0         ,80.0              ,
blaIMP25_1  ,                ,RESISTANT ,RESISTANCE,"blaIMP25_1"      ,80.0         ,80.0              ,
blaIMP13_1  ,                ,RESISTANT ,RESISTANCE,"blaIMP13_1"      ,80.0         ,80.0              ,
blaIMP26_1  ,                ,RESISTANT ,RESISTANCE,"blaIMP26_1"      ,80.0         ,80.0              ,
blaIMP4_2   ,                ,RESISTANT ,RESISTANCE,"blaIMP4_2"       ,80.0         ,80.0              ,
blaIMP4_3   ,                ,RESISTANT ,RESISTANCE,"blaIMP4_3"       ,80.0         ,80.0              ,
blaIMP9_1   ,                ,RESISTANT ,RESISTANCE,"blaIMP9_1"       ,80.0         ,80.0              ,
blaIMP25_3  ,                ,RESISTANT ,RESISTANCE,"blaIMP25_3"      ,80.0         ,80.0              ,
blaIMP8_1   ,                ,RESISTANT ,RESISTANCE,"blaIMP8_1"       ,80.0         ,80.0              ,
