Gene Name,Resistance Group,Set Effect,Effect,Resistance Profile,PID Threshold,Coverage Threshold,Source
TEM-1,,RESISTANT,RESISTANCE,AMP,80.0,80.0,WGSA
OXA-1,,RESISTANT,RESISTANCE,AMP,80.0,80.0,WGSA
OXA-7,,RESISTANT,RESISTANCE,AMP,80.0,80.0,WGSA
OXA-23,,RESISTANT,RESISTANCE,AMP,80.0,80.0,WGSA
beta-lactamase_class-C,,RESISTANT,RESISTANCE,CEP,80.0,80.0,WGSA
CTX-M-15,,RESISTANT,RESISTANCE,CEP,80.0,80.0,WGSA
SHV-12,,RESISTANT,RESISTANCE,CEP,80.0,80.0,WGSA
CMY-2,,RESISTANT,RESISTANCE,CEP,80.0,80.0,WGSA
qnr-S,,RESISTANT,RESISTANCE,CIP,80.0,80.0,WGSA
qnrA,,RESISTANT,RESISTANCE,CIP,80.0,80.0,WGSA
qnrB,,RESISTANT,RESISTANCE,CIP,80.0,80.0,WGSA
qnrD,,RESISTANT,RESISTANCE,CIP,80.0,80.0,WGSA
aac6-Ib-cr,,RESISTANT,RESISTANCE,CIP,80.0,80.0,WGSA
catA1,,RESISTANT,RESISTANCE,CHL,80.0,80.0,WGSA
catQ,,RESISTANT,RESISTANCE,CHL,80.0,80.0,WGSA
tetA(A),,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetA(B),,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetR(A),,RESISTANT,RESISTANCE,SIL,80.0,80.0,WGSA
tetR(B),,RESISTANT,RESISTANCE,SIL,80.0,80.0,WGSA
tetA(C),,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetA(D),,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
cmlA,,RESISTANT,RESISTANCE,CHL,80.0,80.0,WGSA
sul1,,RESISTANT,RESISTANCE,SMX,80.0,80.0,WGSA
sul2,,RESISTANT,RESISTANCE,SMX,80.0,80.0,WGSA
dfrA7,,RESISTANT,RESISTANCE,TMP,80.0,80.0,WGSA
dfrA1,,RESISTANT,RESISTANCE,TMP,80.0,80.0,WGSA
dfrA5,,RESISTANT,RESISTANCE,TMP,80.0,80.0,WGSA
dfrA14,,RESISTANT,RESISTANCE,TMP,80.0,80.0,WGSA
dfrA18,,RESISTANT,RESISTANCE,TMP,80.0,80.0,WGSA
mphA,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
mphB,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
ermA,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
ermB,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
ermC,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
ereB,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
mefA,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
ereA,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
msrA,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
msrD,,RESISTANT,RESISTANCE,AZM,80.0,80.0,WGSA
sul1,sul1-dfrA7,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
dfrA7,sul1-dfrA7,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
sul1,sul1-dfrA1,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
dfrA1,sul1-dfrA1,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
sul1,sul1-dfrA5,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
dfrA5,sul1-dfrA5,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
sul1,sul1-dfrA14,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
dfrA14,sul1-dfrA14,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
sul2,sul2-dfrA7,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
dfrA7,sul2-dfrA7,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
sul2,sul2-dfrA1,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
dfrA1,sul2-dfrA1,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
sul2,sul2-dfrA5,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
dfrA5,sul2-dfrA5,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
sul2,sul2-dfrA14,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
dfrA14,sul2-dfrA14,RESISTANT,RESISTANCE,SXT,80.0,80.0,WGSA
