Gene Name,Resistance Group,Set Effect,Effect,Resistance Profile,PID Threshold,Coverage Threshold,Source
blaZ,blaZ,RESISTANT,RESISTANCE,PEN,80.0,80.0,WGSA
blaZ_LGA251,blaZ_LGA251,RESISTANT,RESISTANCE,PEN,80.0,80.0,WGSA
mecA,mecA,RESISTANT,RESISTANCE,"MET,PEN",80.0,80.0,WGSA
mecC,mecC,RESISTANT,RESISTANCE,MET,80.0,80.0,WGSA
aphA-3,aphA-3,RESISTANT,RESISTANCE,"TOB,AMI,KAN",80.0,80.0,WGSA
aadD,aadD,RESISTANT,RESISTANCE,"AMI,TOB,KAN",80.0,80.0,WGSA
aacA-aphD,aacA-aphD,RESISTANT,RESISTANCE,"TOB,GEN,KAN",80.0,80.0,WGSA
ermA,ermA_ERY,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
ermA,ermA_CLI,RESISTANT,RESISTANCE,CLI,80.0,80.0,WGSA
ermA_SDS,ermA_CLI,RESISTANT,RESISTANCE,CLI,80.0,95.0
ermB,ermB,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
ermC,ermC,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
ermC,ermC,RESISTANT,RESISTANCE,CLI,80.0,80.0,WGSA
ermC_LP,ermC,RESISTANT,MODIFIES_INDUCED,CLI,90.0,95.0
erm33,erm33,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
ermT,ermT,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
mefA,mefA,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
mefE,mefE,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
msrA,msrA,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
ereA,ereA,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
ereB,ereB,RESISTANT,RESISTANCE,ERY,80.0,80.0,WGSA
linA,linA,RESISTANT,RESISTANCE,CLI,80.0,80.0,WGSA
linB,linB,RESISTANT,RESISTANCE,CLI,80.0,80.0,WGSA
linC,linC,RESISTANT,RESISTANCE,CLI,80.0,80.0,WGSA
tetK,tetK,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetM,tetM,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetL,tetL,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetO,tetO,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
fusB,fusB,RESISTANT,RESISTANCE,FUS,80.0,80.0,WGSA
fusC,fusC,RESISTANT,RESISTANCE,FUS,80.0,80.0,WGSA
fusD,fusD,RESISTANT,RESISTANCE,FUS,80.0,80.0,WGSA
cfr,cfr,RESISTANT,RESISTANCE,LNZ,80.0,80.0,WGSA
ileS-2,ileS-2,RESISTANT,RESISTANCE,MUP,80.0,80.0,WGSA
mupB,mupB,RESISTANT,RESISTANCE,MUP,80.0,80.0,WGSA
dfrK,dfrK,RESISTANT,RESISTANCE,TMP,80.0,80.0,WGSA
dfrA,dfrA,RESISTANT,RESISTANCE,TMP,80.0,80.0,WGSA
dfrK,dfrK,RESISTANT,RESISTANCE,TMP,80.0,80.0,WGSA
dfrG,dfrG,RESISTANT,RESISTANCE,TMP,80.0,80.0,WGSA
vanA,vanA,RESISTANT,RESISTANCE,"VAN,TEC",80.0,80.0,WGSA
vanZ,vanZ,RESISTANT,RESISTANCE,"VAN,TEC",80.0,80.0,WGSA
