Name,Type,Full Name
metronidazole(5-nitroimidazole),metronidazole(5-nitroimidazole),metronidazole(5-nitroimidazole)
Colistin,Colistin,Colistin
Phenicol,Phenicol,Phenicol
Trimethoprim,Trimethoprim,Trimethoprim
Sulphonamide,Sulphonamide,Sulphonamide
Vancomycin,Vancomycin,Vancomycin
Vancomycin(Glycopeptid),Vancomycin(Glycopeptid),Vancomycin(Glycopeptid)
Fosfomycin,Fosfomycin,Fosfomycin
Rifampicin,Rifampicin,Rifampicin
Lincosamide,Lincosamide,Lincosamide
Fluoroquinolone,Fluoroquinolone,Fluoroquinolone
Fluoroquinoloneaminoglycoside,Fluoroquinoloneaminoglycoside,Fluoroquinoloneaminoglycoside
OxazolidinonePhenicol,OxazolidinonePhenicol,OxazolidinonePhenicol
Quinolone,Quinolone,Quinolone
Beta-lactam,Beta-lactam,Beta-lactam
Phenicols,Phenicols,Phenicols
Macrolide,Macrolide,Macrolide
Tetracycline,Tetracycline,Tetracycline
LincosamideStreptograminB,LincosamideStreptograminB,LincosamideStreptograminB
Oxazolidinones,Oxazolidinones,Oxazolidinones
Aminoglycoside,Aminoglycoside,Aminoglycoside
StreptograminA,StreptograminA,StreptograminA
StreptograminB,StreptograminB,StreptograminB
Fusidicacid,Fusidicacid,Fusidicacid
Lincosamides,Lincosamides,Lincosamides
Pleuromutilins,Pleuromutilins,Pleuromutilins
