Gene Name,Resistance Group,Set Effect,Effect,Resistance Profile,PID Threshold,Coverage Threshold,Source
mcr-1_1_KP347127,mcr-1_1_KP347127,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-1.2_1_KX236309,mcr-1.2_1_KX236309,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-1.3_1_KU934208,mcr-1.3_1_KU934208,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-1.4_1_KY041856,mcr-1.4_1_KY041856,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-1.5_1_KY283125,mcr-1.5_1_KY283125,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-1.6_1_KY352406,mcr-1.6_1_KY352406,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-1.7_1_KY488488,mcr-1.7_1_KY488488,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-1.8_1_KY683842,mcr-1.8_1_KY683842,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-1.9_1_KY964067,mcr-1.9_1_KY964067,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-1.10_1_MF176238,mcr-1.10_1_MF176238,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-1.11_1_KY853650,mcr-1.11_1_KY853650,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-1.12_1_LC337668,mcr-1.12_1_LC337668,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-1.13_1_MG384739,mcr-1.13_1_MG384739,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-1.14_1_LS398440,mcr-1.14_1_LS398440,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-2_1_LT598652,mcr-2_1_LT598652,RESISTANT,RESISTANCE,"Colistin",95.0,0.4,ResFinder
mcr-2.2_1_NG055496,mcr-2.2_1_NG055496,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.1_1_KY924928,mcr-3.1_1_KY924928,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.2_1_NG055523,mcr-3.2_1_NG055523,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.3_1_NG055783,mcr-3.3_1_NG055783,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.4_1_NG055492,mcr-3.4_1_NG055492,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.5_1_MF463699,mcr-3.5_1_MF463699,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.6_1_MF598076,mcr-3.6_1_MF598076,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.7_1_MF598077,mcr-3.7_1_MF598077,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.8_1_MF598079,mcr-3.8_1_MF598079,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.9_1_MF598080,mcr-3.9_1_MF598080,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.10_1_MG214533,mcr-3.10_1_MG214533,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.11_1_MG489958,mcr-3.11_1_MG489958,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.12_1_MG564491,mcr-3.12_1_MG564491,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.13_1_MH332763,mcr-3.13_1_MH332763,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.14_1_MH332764,mcr-3.14_1_MH332764,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.15_1_MH332765,mcr-3.15_1_MH332765,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.16_1_MH332766,mcr-3.16_1_MH332766,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.17_1_MH332767,mcr-3.17_1_MH332767,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.18_1_MH332768,mcr-3.18_1_MH332768,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.19_1_NG055497,mcr-3.19_1_NG055497,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.20_1_NG055493,mcr-3.20_1_NG055493,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.21_1_NG060582,mcr-3.21_1_NG060582,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.22_1_NG060581,mcr-3.22_1_NG060581,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.23_1_NG060583,mcr-3.23_1_NG060583,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.24_1_NG060580,mcr-3.24_1_NG060580,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-3.25_1_NG060585,mcr-3.25_1_NG060585,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-4.1_1_MF543359,mcr-4.1_1_MF543359,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-4.2_1_MG459157,mcr-4.2_1_MG459157,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
mcr-4.2_2_MG026621,mcr-4.2_2_MG026621,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
