Gene Name,Resistance Group,Set Effect,Effect,Resistance Profile,PID Threshold,Coverage Threshold,Source
aph_3prime_III_1_M26832,aph_3prime_III_1,RESISTANT,RESISTANCE,KAN,80.0,80.0,WGSA
ermB_1_JN899585,ermB_1,RESISTANT,RESISTANCE,MAC,80.0,80.0,WGSA
ermB_10_U86375,ermB_10,RESISTANT,RESISTANCE,MAC,80.0,80.0,WGSA
ermB_16_X82819,ermB_16,RESISTANT,RESISTANCE,MAC,80.0,80.0,WGSA
ermB_20_AF109075,ermB_20,RESISTANT,RESISTANCE,MAC,80.0,80.0,WGSA
ermC_13_M13761,ermC_13,RESISTANT,RESISTANCE,MAC,80.0,80.0,WGSA
cat_5_U35036,cat_5,RESISTANT,RESISTANCE,CHL,80.0,80.0,WGSA
catpC194_1_NC_002013,catpC194,RESISTANT,RESISTANCE,CHL,80.0,80.0,WGSA
catpC233_1_AY355285,catpC233,RESISTANT,RESISTANCE,CHL,80.0,80.0,WGSA
catQ_1_M55620,catQ,RESISTANT,RESISTANCE,CHL,80.0,80.0,WGSA
msrD_2_AF274302,msrD_2,RESISTANT,RESISTANCE,MAC,80.0,80.0,WGSA
msrD_3_AF227520,msrD_3,RESISTANT,RESISTANCE,MAC,80.0,80.0,WGSA
mefA_10_AF376746,mefA_10,RESISTANT,RESISTANCE,MAC,80.0,80.0,WGSA
mefE_AE007317,mefE,RESISTANT,RESISTANCE,MAC,80.0,80.0,WGSA
tetM_1_X92947,tet_1,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetM_12_FR671418,tet_12,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetK_4_U38428,tetK_4,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetM_13_AM990992,tetM_13,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetM_2_X90939,tetM_2,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetM_4_X75073,tetM_4,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetM_5_U58985,tetM_5,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
tetM_8_X04388,tetM_8,RESISTANT,RESISTANCE,TCY,80.0,80.0,WGSA
